Category,Title_Arabic,Document_Number,Year,Publication_Date,URL,Description_Arabic,Status,Extracted_At,Title_Length,Title_Word_Count,Description_Length,Description_Word_Count,Category_Code,Years_Since_Publication,Decade
regulations,قانون رقم (138) لسنة 1997 بشأن الإعلام,138,1997,1997-03-07,https://almeezan.qa/LawArticles.aspx?lawID=1000,ينظم هذا قانون الأحكام المتعلقة بالإعلام في دولة قطر,active,2026-01-10T23:00:45.537453,38,7,52,9,2,29,1990
decisions,مرسوم رقم (149) لسنة 2021 بشأن الرياضة,149,2021,2021-01-09,https://almeezan.qa/LawArticles.aspx?lawID=1001,ينظم هذا مرسوم الأحكام المتعلقة بالرياضة في دولة قطر,amended,2026-01-10T23:00:45.537477,38,7,52,9,0,5,2020
laws,لائحة رقم (152) لسنة 1992 بشأن الضرائب,152,1992,1992-10-31,https://almeezan.qa/LawArticles.aspx?lawID=1002,ينظم هذا لائحة الأحكام المتعلقة بالضرائب في دولة قطر,active,2026-01-10T23:00:45.537491,38,7,52,9,1,34,1990
regulations,قانون رقم (17) لسنة 2002 بشأن الإسكان,17,2002,2002-11-03,https://almeezan.qa/LawArticles.aspx?lawID=1003,ينظم هذا قانون الأحكام المتعلقة بالإسكان في دولة قطر,active,2026-01-10T23:00:45.537502,37,7,52,9,2,24,2000
decisions,قانون رقم (86) لسنة 2003 بشأن الاستثمار,86,2003,2003-09-26,https://almeezan.qa/LawArticles.aspx?lawID=1004,ينظم هذا قانون الأحكام المتعلقة بالاستثمار في دولة قطر,active,2026-01-10T23:00:45.537514,39,7,54,9,0,23,2000
decisions,مرسوم رقم (53) لسنة 2010 بشأن النقل,53,2010,2010-10-03,https://almeezan.qa/LawArticles.aspx?lawID=1005,ينظم هذا مرسوم الأحكام المتعلقة بالنقل في دولة قطر,active,2026-01-10T23:00:45.537530,35,7,50,9,0,16,2010
laws,مرسوم رقم (181) لسنة 2014 بشأن العمل,181,2014,2014-06-30,https://almeezan.qa/LawArticles.aspx?lawID=1006,ينظم هذا مرسوم الأحكام المتعلقة بالعمل في دولة قطر,active,2026-01-10T23:00:45.537540,36,7,50,9,1,12,2010
decisions,مرسوم رقم (118) لسنة 2011 بشأن العدل,118,2011,2011-10-05,https://almeezan.qa/LawArticles.aspx?lawID=1007,ينظم هذا مرسوم الأحكام المتعلقة بالعدل في دولة قطر,active,2026-01-10T23:00:45.537550,36,7,50,9,0,15,2010
laws,نظام رقم (90) لسنة 2004 بشأن البيئة,90,2004,2004-11-28,https://almeezan.qa/LawArticles.aspx?lawID=1008,ينظم هذا نظام الأحكام المتعلقة بالبيئة في دولة قطر,amended,2026-01-10T23:00:45.537559,35,7,50,9,1,22,2000
laws,نظام رقم (135) لسنة 2004 بشأن الصحة,135,2004,2004-09-30,https://almeezan.qa/LawArticles.aspx?lawID=1009,ينظم هذا نظام الأحكام المتعلقة بالصحة في دولة قطر,active,2026-01-10T23:00:45.537568,35,7,49,9,1,22,2000
regulations,لائحة رقم (7) لسنة 1993 بشأن الصحة,7,1993,1993-10-18,https://almeezan.qa/LawArticles.aspx?lawID=1010,ينظم هذا لائحة الأحكام المتعلقة بالصحة في دولة قطر,active,2026-01-10T23:00:45.537577,34,7,50,9,2,33,1990
decisions,قانون رقم (13) لسنة 2012 بشأن الإسكان,13,2012,2012-03-23,https://almeezan.qa/LawArticles.aspx?lawID=1011,ينظم هذا قانون الأحكام المتعلقة بالإسكان في دولة قطر,active,2026-01-10T23:00:45.537586,37,7,52,9,0,14,2010
regulations,نظام رقم (33) لسنة 1997 بشأن الرياضة,33,1997,1997-06-11,https://almeezan.qa/LawArticles.aspx?lawID=1012,ينظم هذا نظام الأحكام المتعلقة بالرياضة في دولة قطر,amended,2026-01-10T23:00:45.537595,36,7,51,9,2,29,1990
laws,قرار رقم (56) لسنة 2023 بشأن الرياضة,56,2023,2023-09-19,https://almeezan.qa/LawArticles.aspx?lawID=1013,ينظم هذا قرار الأحكام المتعلقة بالرياضة في دولة قطر,amended,2026-01-10T23:00:45.537604,36,7,51,9,1,3,2020
laws,قرار رقم (31) لسنة 1997 بشأن التجارة,31,1997,1997-06-22,https://almeezan.qa/LawArticles.aspx?lawID=1014,ينظم هذا قرار الأحكام المتعلقة بالتجارة في دولة قطر,active,2026-01-10T23:00:45.537612,36,7,51,9,1,29,1990
decisions,لائحة رقم (37) لسنة 1993 بشأن التجارة,37,1993,1993-04-14,https://almeezan.qa/LawArticles.aspx?lawID=1015,ينظم هذا لائحة الأحكام المتعلقة بالتجارة في دولة قطر,active,2026-01-10T23:00:45.537621,37,7,52,9,0,33,1990
decisions,قرار رقم (107) لسنة 2000 بشأن الاستثمار,107,2000,2000-03-26,https://almeezan.qa/LawArticles.aspx?lawID=1016,ينظم هذا قرار الأحكام المتعلقة بالاستثمار في دولة قطر,amended,2026-01-10T23:00:45.537630,39,7,53,9,0,26,2000
regulations,قرار رقم (113) لسنة 1991 بشأن التجارة,113,1991,1991-04-11,https://almeezan.qa/LawArticles.aspx?lawID=1017,ينظم هذا قرار الأحكام المتعلقة بالتجارة في دولة قطر,active,2026-01-10T23:00:45.537639,37,7,51,9,2,35,1990
decisions,قانون رقم (132) لسنة 1995 بشأن الرياضة,132,1995,1995-06-12,https://almeezan.qa/LawArticles.aspx?lawID=1018,ينظم هذا قانون الأحكام المتعلقة بالرياضة في دولة قطر,amended,2026-01-10T23:00:45.537648,38,7,52,9,0,31,1990
