category,title,number,year,status,title_length,years_since_publication
regulations,قانون رقم (138) لسنة 1997 بشأن الإعلام,138,1997,active,38,29
decisions,مرسوم رقم (149) لسنة 2021 بشأن الرياضة,149,2021,amended,38,5
laws,لائحة رقم (152) لسنة 1992 بشأن الضرائب,152,1992,active,38,34
regulations,قانون رقم (17) لسنة 2002 بشأن الإسكان,17,2002,active,37,24
decisions,قانون رقم (86) لسنة 2003 بشأن الاستثمار,86,2003,active,39,23
decisions,مرسوم رقم (53) لسنة 2010 بشأن النقل,53,2010,active,35,16
laws,مرسوم رقم (181) لسنة 2014 بشأن العمل,181,2014,active,36,12
decisions,مرسوم رقم (118) لسنة 2011 بشأن العدل,118,2011,active,36,15
laws,نظام رقم (90) لسنة 2004 بشأن البيئة,90,2004,amended,35,22
laws,نظام رقم (135) لسنة 2004 بشأن الصحة,135,2004,active,35,22
regulations,لائحة رقم (7) لسنة 1993 بشأن الصحة,7,1993,active,34,33
decisions,قانون رقم (13) لسنة 2012 بشأن الإسكان,13,2012,active,37,14
regulations,نظام رقم (33) لسنة 1997 بشأن الرياضة,33,1997,amended,36,29
laws,قرار رقم (56) لسنة 2023 بشأن الرياضة,56,2023,amended,36,3
laws,قرار رقم (31) لسنة 1997 بشأن التجارة,31,1997,active,36,29
decisions,لائحة رقم (37) لسنة 1993 بشأن التجارة,37,1993,active,37,33
decisions,قرار رقم (107) لسنة 2000 بشأن الاستثمار,107,2000,amended,39,26
regulations,قرار رقم (113) لسنة 1991 بشأن التجارة,113,1991,active,37,35
decisions,قانون رقم (132) لسنة 1995 بشأن الرياضة,132,1995,amended,38,31
regulations,قانون رقم (144) لسنة 1998 بشأن العدل,144,1998,active,36,28
